Time,P_HP,H_industry,H_HV_refuel,P_electrolysis_H2,Q_storage_charge,P_electrolysis_fuel,H_storage_discharge,D_EV,P_wind,Q_CHP,Q_storage,SOC_HV,P_EV_charge,F_ICV_refuel,Q_buildings_th,CO2_captured,SOC_EV,F_E2F,P_CHP,H_fuelcell,P_solar,P_fuelcell,F_industry,Cert_purchase,H_electrolysis,P_electrolysis,D_HV,P_buildings_elec,E_storage,H_storage,P_storage_charge,H_storage_charge,P_industry_elec,P_EV_V2G,Emissions_total,P_CCUS,SOC_ICV,Q_HP,P_storage_discharge,D_ICV,F_fuel,P_grid,Q_storage_discharge,F_CHP,Q_industry_th
21,8.519934231675407,46.24234320614541,2.1826129294595406e-6,61.414578848215434,5.258651325624149,8.290713247223819e-6,9.393601446008985,104.45542329380174,211.7189316168168,457.14286029441416,50.004770664775435,5177.807820018623,1.9826032312115497e-6,9.069626414964256e-6,225.0,308.92217772309033,361.21580738187345,2.4872139741671456e-6,400.0000027576123,9.80609992762833e-7,1.4508934443248647e-10,5.883659956577005e-7,101.82294629606,0.0,36.848747308929255,61.41458713892868,54.61455954074595,120.00000367521443,51.02042752435369,60.492940515578525,3.2361552503099502e-6,2.385569912754496e-6,360.0000030752208,1.8362200427371163e-5,322.7753358307338,61.78443579902657,29427.161921524603,25.55980269502622,1.4860427705954668e-5,340.9300171654523,322.7753353541059,9.53255866503836e-7,8.066681194409528e-6,220.95238247563347,255.0
22,4.733423865553661,50.76148712655439,3.6902948819502357,91.63018738038949,5.2631662357466436,18.350578576071474,2.4097786113648694e-6,101.35476519284302,253.7553225662445,457.1428585170961,50.00000386639747,5161.423454339012,8.033650416640911e-6,4.752874328435261,212.5,329.94229749248666,340.32470420414126,5.505173572821442,400.0000012024591,1.10860275679795e-6,1.2621539500993497e-10,6.651616540787699e-7,109.74221536777958,0.0,54.97811242823369,109.98076595646096,53.48595674783411,112.0000157974244,50.000006405658624,50.00001185459944,1.052642132607093,0.5263317209049192,360.0000151775281,2.3050044914967055e-6,329.9422983887733,65.98845978222687,29222.603920294958,14.200271596660983,2.7088886354954516e-6,295.1592780593229,329.9422977399898,1.2975669009717711e-6,8.962323460627992e-6,220.95238161659643,255.0
23,1.931027610791104e-6,54.04728063016658,37.935493843077914,154.18181981334388,5.263183668699239,104.38834268942331,2.4097790331183185e-6,99.19979996754881,480.097158347428,432.76316443030146,50.00000196969234,5149.067962196613,8.033682768796737e-6,490.9112439710678,187.5,775.710482665292,320.05375623642436,31.31650280682699,378.6677688765137,1.1086027052066437e-6,1.2621536899043786e-10,6.651616231239864e-7,106.94687844434057,0.0,92.50909188800632,258.5701625027672,51.903288172843084,104.0000158174846,50.000013452060465,50.00002433430406,1.0526348638006358,0.5263187159381519,340.00001522758805,2.3050017224832527e-6,775.7104835615695,155.142096816788,29050.2612277878,5.793082832373309e-6,2.7088890922976603e-6,248.89691185960808,775.7104824165604,2.2900184417774225e-6,1.2866006676212258e-5,209.16886280797902,240.0
24,1.9310274133066124e-6,47.372070069102094,43.19764331683394,151.8267180008564,5.2632010153006314,117.34680827645148,2.409779008454386e-6,96.82784881691276,500.00000462042016,420.26318177690433,50.00001271482247,5171.432469587838,8.033681783529924e-6,531.8957379988955,175.0,807.5205413915146,300.2138013138002,35.20404248293544,367.73028405479124,1.1086026951615105e-6,1.2621536841812242e-10,6.651616170969065e-7,107.701637479386,0.0,91.09603080051384,269.1735262773079,49.73402895554728,96.0000158374792,50.00001345216766,50.00002433449275,1.0526280191654735,0.5263187157541281,340.0000152275828,2.3050017782058437e-6,807.5205422877932,161.50410856203254,29391.834324643103,5.793082239919834e-6,2.708889123658364e-6,203.43812222754,807.5205375208498,9.533886837426769e-6,1.2866005846414873e-5,203.12720452550374,240.0
25,2.504606979374794e-6,46.72705547437243,50.515930322021546,162.94883864758842,5.263184459647085,137.05115404610223,2.409778971630418e-6,92.88452156329251,451.2392049025453,407.76316421350026,50.00003886471177,5199.709904218007,1.5693734913361504e-5,353.9055319264524,162.5,641.7930076196577,280.8482366213023,41.11534621383067,356.7927686868127,1.0861610623520585e-6,1.2318268770963276e-10,6.516966374112358e-7,103.22762943241305,0.0,97.76930318855304,299.9999926936906,46.77888221428919,96.00003115790335,50.000006949869274,50.00002433450476,1.0526346745709616,0.5263187157769758,340.0000305483008,2.020015046829228e-6,641.7930095480959,128.358601812988,29801.667189305474,7.513820938124372e-6,2.758197343780531e-6,160.3365962224183,613.1033445148933,57.379330066405416,1.1980943788168565e-5,197.08552936985845,240.0
26,3.824050116796844e-6,49.13415229908741,12.115292419186547,102.95960347966215,5.263136495979414,197.04039566419388,2.4097789013765873e-6,69.82656748861636,314.8849067918221,380.2631128114233,50.00004760338554,5236.192169875742,0.5143814082363691,5.9577644456363494e-5,150.0,295.5608913863212,262.2713449732308,59.11211869925816,332.7302237099953,1.0635425807551205e-6,1.1999887235123675e-10,6.381255484530718e-7,103.71921223416341,0.0,61.77576208779729,299.99999914385603,38.46117584848402,90.27953162843325,50.000006848348676,50.000024334538395,1.0526423468330504,0.5263187157596426,389.00104270097,1.7876412853149592e-6,324.5733129138367,59.112178572126254,30059.37076349848,1.1472150350390532e-5,2.811935887197493e-6,91.71225666289962,228.40099097140424,192.34464388486475,1.1065190791598655e-5,183.79383785885454,225.0
27,3.824054924534568e-6,51.94084341403129,9.373704130339926,103.06810818976322,5.263394469865369,196.9318909540943,2.4097788137727265e-6,55.21148353311277,339.9944339766576,367.7633707853088,50.00001086665818,5236.769109540384,0.517252420967126,5.957806345648412e-5,137.5,295.39813432618934,248.79469182706396,59.0795672862283,321.7929494371451,1.0635424884941862e-6,1.1999887169251618e-10,6.381254930965125e-7,109.54736162207838,0.0,61.84086491385793,299.9999991438575,32.17379434969599,82.29784302145507,50.00001398094059,50.0000243345553,1.052625512796365,0.5263187157230327,386.56625621743063,1.7876409890532055e-6,312.08325911799767,59.07962716009988,30004.343469078383,1.1472164773603698e-5,2.8119360817009605e-6,62.61472211719124,228.22014979347944,167.72621864903638,1.1065175306126905e-5,177.75229587956588,225.0
28,1.649083294130119e-5,50.405882125031255,46.08649111773314,161.6978176253768,5.262968133464051,138.30218270738916,2.4097787428830653e-6,37.21978020090362,228.41579288905547,340.2629037050637,50.000222878811506,5236.490675365815,99.99999190898379,667.5452880441403,125.0,888.6647606896299,238.2437829340924,41.490654812216754,297.7300407419307,1.0265870158163437e-6,1.1449952351686356e-10,6.159522094898064e-7,96.89025311042973,0.0,97.01869057522609,300.000000332766,24.180026769997262,107.99998200810509,50.0000049785456,50.00002433453735,1.0526449132438203,0.5263187156534188,449.9999825782264,1.4908592267889609e-6,1192.7251558136802,177.73295244336626,29966.77469538613,4.947249882390357e-5,2.909853190501805e-6,38.60019302909912,887.4052897998007,610.6397320277589,1.0008651668770354e-5,164.46040345744743,210.0
29,1.6490940472633472e-5,53.76613132304841,43.76059024711891,163.4217315044358,5.263163174262626,136.57826882833044,2.409778753804071e-6,58.67403885082918,310.3588328693284,367.76309874551697,50.0000097822984,5275.323158452549,99.99999190898896,667.5788482857585,137.5,909.3745996995244,325.79981755093604,40.97348064849913,321.7927114023273,1.026587010874252e-6,1.1449952358387974e-10,6.159522065245507e-7,106.05869000209105,0.0,98.05303890266147,300.00000033276626,31.413071253117618,107.99998200811235,50.00001448355296,50.00002433445352,3.222764321704798,0.526318715685884,479.99998262823357,1.490859078832444e-6,1180.8892763568483,181.8749202453452,30611.159867612812,4.9472821417900444e-5,2.9098473926761792e-6,59.91288989605322,910.4162220330169,540.9461086476628,1.0008642139003527e-5,177.75216439366653,225.0
30,2.160282061671081e-6,53.11021643736269,5.636425175312748,98.7882650362256,5.263215560679661,201.21173100644552,2.4097788163315486e-6,156.5244713704427,216.3882750295274,407.76319606090027,50.00000328420528,5309.659827323733,9.080772851745831e-6,2.9786019290289922e-5,162.5,301.81774544125767,409.0650004377996,60.36351930193366,356.79279655328764,1.103221139332338e-6,1.2549816037103929e-10,6.619326835994016e-7,98.63099682052858,0.0,59.27295902173535,299.9999960426711,49.91527243064606,80.00001797167438,52.0616372365042,50.00002433440136,6.4289943164947e-6,0.5263187156175911,340.0000173218086,2.2307222478000637e-6,338.9443114492295,60.36354937322177,31242.790981960938,6.480846185013246e-6,5.140135892593817e-6,193.56025619891125,235.35305206738263,207.18251876369368,1.2370848642252004e-5,197.08554476276842,240.0
